Obtido IP do servidor.
Aberto um novo socket.
Iniciando envio de pacotes...
Iniciando recebimento de pacotes...
Enviado pacote # 132.
Enviado pacote # 133.
Enviado pacote # 134.
Enviado pacote # 135.
Enviado pacote # 136.
Enviado pacote # 137.
Enviado pacote # 138.
Enviado pacote # 139.
Enviado pacote # 140.
Enviado pacote # 141.
Enviado pacote # 142.
Enviado pacote # 143.
Enviado pacote # 144.
Enviado pacote # 145.
Enviado pacote # 146.
Enviado pacote # 147.
Enviado pacote # 148.
Enviado pacote # 149.
Enviado pacote # 150.
Enviado pacote # 151.
Enviado pacote # 152.
Enviado pacote # 153.
Enviado pacote # 154.
Enviado pacote # 155.
Enviado pacote # 156.
Enviado pacote # 157.
Enviado pacote # 158.
Enviado pacote # 159.
Enviado pacote # 160.
Enviado pacote # 161.
Enviado pacote # 162.
Enviado pacote # 163.
Enviado pacote # 164.
Enviado pacote # 165.
Enviado pacote # 166.
Enviado pacote # 167.
Enviado pacote # 168.
Enviado pacote # 169.
Enviado pacote # 170.
Enviado pacote # 171.
Enviado pacote # 172.
Enviado pacote # 173.
Enviado pacote # 174.
Enviado pacote # 175.
Enviado pacote # 176.
Enviado pacote # 177.
Enviado pacote # 178.
Enviado pacote # 179.
Enviado pacote # 180.
Enviado pacote # 181.
Enviado pacote # 182.
Enviado pacote # 183.
Enviado pacote # 184.
Enviado pacote # 185.
Enviado pacote # 186.
Enviado pacote # 187.
Enviado pacote # 188.
Enviado pacote # 189.
Enviado pacote # 190.
Enviado pacote # 191.
Enviado pacote # 192.
Enviado pacote # 193.
Enviado pacote # 194.
Enviado pacote # 195.
Enviado pacote # 196.
Enviado pacote # 197.
Enviado pacote # 198.
Enviado pacote # 199.
Enviado pacote # 200.
Enviado pacote # 201.
Enviado pacote # 202.
Enviado pacote # 203.
Enviado pacote # 204.
Enviado pacote # 205.
Enviado pacote # 206.
Enviado pacote # 207.
Enviado pacote # 208.
Enviado pacote # 209.
Enviado pacote # 210.
Enviado pacote # 211.
Enviado pacote # 212.
Enviado pacote # 213.
Enviado pacote # 214.
Enviado pacote # 215.
Enviado pacote # 216.
Enviado pacote # 217.
Enviado pacote # 218.
Enviado pacote # 219.
Enviado pacote # 220.
Enviado pacote # 221.
Enviado pacote # 222.
Enviado pacote # 223.
Enviado pacote # 224.
Enviado pacote # 225.
Enviado pacote # 226.
Enviado pacote # 227.
Enviado pacote # 228.
Enviado pacote # 229.
Enviado pacote # 230.
Enviado pacote # 231.
Enviado pacote # 232.
Enviado pacote # 233.
Enviado pacote # 234.
Enviado pacote # 235.
Enviado pacote # 236.
Enviado pacote # 237.
Enviado pacote # 238.
Enviado pacote # 239.
Enviado pacote # 240.
Enviado pacote # 241.
Enviado pacote # 242.
Enviado pacote # 243.
Enviado pacote # 244.
Enviado pacote # 245.
Enviado pacote # 246.
Enviado pacote # 247.
Enviado pacote # 248.
Enviado pacote # 249.
Enviado pacote # 250.
Enviado pacote # 251.
Enviado pacote # 252.
Enviado pacote # 253.
Enviado pacote # 254.
Enviado pacote # 255.
Enviado pacote # 256.
Enviado pacote # 257.
Enviado pacote # 258.
Enviado pacote # 259.
Enviado pacote # 260.
Enviado pacote # 261.
Enviado pacote # 262.
Enviado pacote # 263.
Enviado pacote # 264.
Enviado pacote # 265.
Enviado pacote # 266.
Enviado pacote # 267.
Enviado pacote # 268.
Enviado pacote # 269.
Enviado pacote # 270.
Enviado pacote # 271.
Enviado pacote # 272.
Enviado pacote # 273.
Enviado pacote # 274.
Enviado pacote # 275.
Enviado pacote # 276.
Enviado pacote # 277.
Enviado pacote # 278.
Enviado pacote # 279.
Enviado pacote # 280.
Enviado pacote # 281.
Enviado pacote # 282.
Enviado pacote # 283.
Enviado pacote # 284.
Enviado pacote # 285.
Enviado pacote # 286.
Enviado pacote # 287.
Enviado pacote # 288.
Enviado pacote # 289.
Enviado pacote # 290.
Enviado pacote # 291.
Enviado pacote # 292.
Enviado pacote # 293.
Enviado pacote # 294.
Enviado pacote # 295.
Enviado pacote # 296.
Enviado pacote # 297.
Enviado pacote # 298.
Enviado pacote # 299.
Enviado pacote # 300.
Enviado pacote # 301.
Enviado pacote # 302.
Enviado pacote # 303.
Enviado pacote # 304.
Enviado pacote # 305.
Enviado pacote # 306.
Enviado pacote # 307.
Enviado pacote # 308.
Enviado pacote # 309.
Enviado pacote # 310.
Enviado pacote # 311.
Enviado pacote # 312.
Enviado pacote # 313.
Enviado pacote # 314.
Enviado pacote # 315.
Enviado pacote # 316.
Enviado pacote # 317.
Enviado pacote # 318.
Enviado pacote # 319.
Enviado pacote # 320.
Enviado pacote # 321.
Enviado pacote # 322.
Enviado pacote # 323.
Enviado pacote # 324.
Enviado pacote # 325.
Enviado pacote # 326.
Enviado pacote # 327.
Enviado pacote # 328.
Enviado pacote # 329.
Enviado pacote # 330.
Enviado pacote # 331.
Enviado pacote # 332.
Enviado pacote # 333.
Enviado pacote # 334.
Enviado pacote # 335.
Enviado pacote # 336.
Enviado pacote # 337.
Enviado pacote # 338.
Enviado pacote # 339.
Enviado pacote # 340.
Enviado pacote # 341.
Enviado pacote # 342.
Enviado pacote # 343.
Enviado pacote # 344.
Enviado pacote # 345.
Enviado pacote # 346.
Enviado pacote # 347.
Enviado pacote # 348.
Enviado pacote # 349.
Enviado pacote # 350.
Enviado pacote # 351.
Enviado pacote # 352.
Enviado pacote # 353.
Enviado pacote # 354.
Enviado pacote # 355.
Enviado pacote # 356.
Enviado pacote # 357.
Enviado pacote # 358.
Enviado pacote # 359.
Enviado pacote # 360.
Enviado pacote # 361.
Enviado pacote # 362.
Enviado pacote # 363.
Enviado pacote # 364.
Enviado pacote # 365.
Enviado pacote # 366.
Enviado pacote # 367.
Enviado pacote # 368.
Enviado pacote # 369.
Enviado pacote # 370.
Enviado pacote # 371.
Enviado pacote # 372.
Enviado pacote # 373.
Enviado pacote # 374.
Enviado pacote # 375.
Enviado pacote # 376.
Enviado pacote # 377.
Enviado pacote # 378.
Enviado pacote # 379.
Enviado pacote # 380.
Enviado pacote # 381.
Enviado pacote # 382.
Enviado pacote # 383.
Enviado pacote # 384.
Enviado pacote # 385.
Enviado pacote # 386.
Enviado pacote # 387.
Enviado pacote # 388.
Enviado pacote # 389.
Enviado pacote # 390.
Enviado pacote # 391.
Enviado pacote # 392.
Enviado pacote # 393.
Enviado pacote # 394.
Enviado pacote # 395.
Enviado pacote # 396.
Enviado pacote # 397.
Enviado pacote # 398.
Enviado pacote # 399.
Enviado pacote # 400.
Enviado pacote # 401.
Enviado pacote # 402.
Enviado pacote # 403.
Enviado pacote # 404.
Enviado pacote # 405.
Enviado pacote # 406.
Enviado pacote # 407.
Enviado pacote # 408.
Enviado pacote # 409.
Enviado pacote # 410.
Enviado pacote # 411.
Enviado pacote # 412.
Enviado pacote # 413.
Enviado pacote # 414.
Enviado pacote # 415.
Enviado pacote # 416.
Enviado pacote # 417.
Enviado pacote # 418.
Enviado pacote # 419.
Enviado pacote # 420.
Enviado pacote # 421.
Enviado pacote # 422.
Enviado pacote # 423.
Enviado pacote # 424.
Enviado pacote # 425.
Enviado pacote # 426.
Enviado pacote # 427.
Enviado pacote # 428.
Enviado pacote # 429.
Enviado pacote # 430.
Enviado pacote # 431.
Enviado pacote # 432.
Enviado pacote # 433.
Enviado pacote # 434.
Enviado pacote # 435.
Enviado pacote # 436.
Enviado pacote # 437.
Enviado pacote # 438.
Enviado pacote # 439.
Enviado pacote # 440.
Enviado pacote # 441.
Enviado pacote # 442.
Enviado pacote # 443.
Enviado pacote # 444.
Enviado pacote # 445.
Enviado pacote # 446.
Enviado pacote # 447.
Enviado pacote # 448.
Enviado pacote # 449.
Enviado pacote # 450.
Enviado pacote # 451.
Enviado pacote # 452.
Enviado pacote # 453.
Enviado pacote # 454.
Enviado pacote # 455.
Enviado pacote # 456.
Enviado pacote # 457.
Enviado pacote # 458.
Enviado pacote # 459.
Enviado pacote # 460.
Enviado pacote # 461.
Enviado pacote # 462.
Enviado pacote # 463.
Enviado pacote # 464.
Enviado pacote # 465.
Enviado pacote # 466.
Enviado pacote # 467.
Enviado pacote # 468.
Enviado pacote # 469.
Enviado pacote # 470.
Enviado pacote # 471.
Enviado pacote # 472.
Enviado pacote # 473.
Enviado pacote # 474.
Enviado pacote # 475.
Enviado pacote # 476.
Enviado pacote # 477.
Enviado pacote # 478.
Enviado pacote # 479.
Enviado pacote # 480.
Enviado pacote # 481.
Enviado pacote # 482.
Enviado pacote # 483.
Enviado pacote # 484.
Enviado pacote # 485.
Enviado pacote # 486.
Enviado pacote # 487.
Enviado pacote # 488.
Enviado pacote # 489.
Enviado pacote # 490.
Enviado pacote # 491.
Enviado pacote # 492.
Enviado pacote # 493.
Enviado pacote # 494.
Enviado pacote # 495.
Enviado pacote # 496.
Enviado pacote # 497.
Enviado pacote # 498.
Enviado pacote # 499.
Enviado pacote # 500.
Enviado pacote # 501.
Enviado pacote # 502.
Enviado pacote # 503.
Enviado pacote # 504.
Enviado pacote # 505.
Enviado pacote # 506.
Enviado pacote # 507.
Enviado pacote # 508.
Enviado pacote # 509.
Enviado pacote # 510.
Enviado pacote # 511.
Enviado pacote # 512.
Enviado pacote # 513.
Enviado pacote # 514.
Enviado pacote # 515.
Enviado pacote # 516.
Enviado pacote # 517.
Enviado pacote # 518.
Enviado pacote # 519.
Enviado pacote # 520.
Enviado pacote # 521.
Enviado pacote # 522.
Enviado pacote # 523.
Enviado pacote # 524.
Enviado pacote # 525.
Enviado pacote # 526.
Enviado pacote # 527.
Enviado pacote # 528.
Enviado pacote # 529.
Enviado pacote # 530.
Enviado pacote # 531.
Enviado pacote # 532.
Enviado pacote # 533.
Enviado pacote # 534.
Enviado pacote # 535.
Enviado pacote # 536.
Enviado pacote # 537.
Enviado pacote # 538.
Enviado pacote # 539.
Enviado pacote # 540.
Enviado pacote # 541.
Enviado pacote # 542.
Enviado pacote # 543.
Enviado pacote # 544.
Enviado pacote # 545.
Enviado pacote # 546.
Enviado pacote # 547.
Enviado pacote # 548.
Enviado pacote # 549.
Enviado pacote # 550.
Enviado pacote # 551.
Enviado pacote # 552.
Enviado pacote # 553.
Enviado pacote # 554.
Enviado pacote # 555.
Enviado pacote # 556.
Enviado pacote # 557.
Enviado pacote # 558.
Enviado pacote # 559.
Enviado pacote # 560.
Enviado pacote # 561.
Enviado pacote # 562.
Enviado pacote # 563.
Enviado pacote # 564.
Enviado pacote # 565.
Enviado pacote # 566.
Enviado pacote # 567.
Enviado pacote # 568.
Enviado pacote # 569.
Enviado pacote # 570.
Enviado pacote # 571.
Enviado pacote # 572.
Enviado pacote # 573.
Enviado pacote # 574.
Enviado pacote # 575.
